 id  |                             title                             |                                 author                                 |                  genre                   
 822 | L' Oracle                                                     | Germain-François Poullain de Saint-Foix                                | Comédie
 823 | La Coquette corigée                                           | Jean-Baptiste-Sauvé                                                    | Comédie
 824 | Le Naufrage de Crispin                                        | Joseph de la Font                                                      | Comédie
 825 | La Rupture ou le Malentendu                                   | Mme de Lorme                                                           | Comédie
 826 | La Surprise de l’amour                                        | Pierre Carlet de Chamblain de Marivaux                                 | Comédie
 827 | L’Homme à bonne fortune                                       | Michel Boiron / Boyron                                                 | Comédie
 828 | Le Naufrage ou La Pompe funèbre de Crispin                    | Joseph de la Font                                                      | Comédie
 143 | Le Vindicatif                                                 | Gérard Dudoyer de Gastels                                              | drame
 829 | Le Malheureux imaginaire                                      | Claude-Joseph Dorat                                                    | Comédie
 830 | Le Malheureux Imaginaire                                      | Claude-Joseph Dorat                                                    | Comédie
 831 | Oreste                                                        | François-Marie Arouet dit Voltaire                                     | Tragédie
 832 | Le Barbier de Seville                                         | Pierre-Augustin Caron de Beaumarchais                                  | Comédie
 833 | Monsieur de Pourceaugnac                                      | Jean-Baptiste Poquelin dit Molière                                     | Comédie
 834 | Le français à Londres                                         | Louis de Boissy                                                        | Comédie
 835 | Le Festin de pierre                                           | Thomas Corneille; Jean-Baptiste Poquelin dit Molière                   | Comédie
 836 | Deucalion et Pyrrha                                           | Germain-François Poullain de Saint-Foix                                | Comédie
 837 | Deucalion et Pyrrha                                           | Germain-François Poullain de Saint-Foix                                | Comédie
 838 | Le Festin de Pierre                                           | Thomas Corneille                                                       | Comédie
 839 | L' Etourderie                                                 | Christophe-Barthélémy Fagan de Lugny                                   | Comédie
 840 | Colin Maillard                                                | Florent Carton dit Dancourt                                            | Comédie
 841 | Le Galant Jardinier                                           | Florent Carton dit Dancourt                                            | Comédie
 842 | Don Japhet d'Arménie                                          | Paul Scarron                                                           | Comédie
 843 | La Cavalcade                                                  | Inconnu                                                                | Divertissement
 844 | Don Japhet D’Arménie                                          | Paul Scarron                                                           | Comédie
 845 | Les Méchant                                                   | Jean-Baptiste-Louis Gresset                                            | Comédie
 846 | Don Japhet d’Arménie                                          | Paul Scarron                                                           | Comédie
 847 | Le Chevalier à la mode                                        | Marc-Antoine Legrand / Le Grand                                        | Comédie
 848 | Le Complaisant                                                | Antoine de Fériol de Pont-de-Veyle                                     | Comédie
 849 | Le Cocher Supposé                                             | Noël Lebreton de Hauteroche                                            | Comédie
