id,title,author,genre,Prologue,nombre d'actes,Prose/vers,"Musique, danse, machine"
250,Le Chevalier à la mode,Dancourt (Florent Carton dit) ,comédie,,5,prose,
251,Le Chevalier français à Londres,Dorat (Claude-Joseph),comédie,,3,vers,
252,Le Chevalier français à Turin,Dorat (Claude-Joseph),comédie,,4,vers,
253,Le Chevalier sans peur et sans reproche ou les Amours de Bayard,Monvel (Jacques-Marie Boutet de Monvel dit) ,comédie héroïque,,3,prose,
254,Le Chirurgien de village,Simon-Chauvot,comédie,,1,prose,
255,Le Cid,Corneille (Pierre),tragi-comédie,,5,vers,
256,Le Cocher supposé,Hauteroche (Noël Lebreton de),comédie,,1,prose,
257,Le Complaisant,Pont-de-Vesle (Antoine de Fériol de),comédie,,5,prose,
258,Le Comte de Comminges ou les Amants malheureux,Arnaud (François-Thomas-Marie de Baculard d'),drame ,,3,vers,
259,Le Comte de Warwick,La Harpe (Jean-François de),tragédie,,5,vers,
260,Le Comte de Warwick,Cahusac (Louis de),tragédie,,5,vers,
261,Le Comte d'Essex,Corneille (Thomas),tragédie,,5,vers,
262,Le Concert ,Bret (Antoine),comédie,,1,prose,
263,Le Concert ridicule,Brueys (David-Augustin de); Palaprat (Jean de),comédie,,1,prose,
264,Le Conciliateur ou l'Homme aimable,Demoustier (Charles-Albert),comédie,,5,vers,
265,Le Consentement forcé,Merville (Michel Guyot de),comédie,,1,prose,
266,Le Conteur ou les deux postes,Picard (Louis-Benoît),comédie,,3,prose,
267,Le Couvent ou les Fruits du caractère et de l'éducation,Laujon (Pierre),comédie,,1,prose,
268,Le Curieux impertinent,Destouches (Philippe Néricault dit),comédie,,5,vers,
269,Le Dédit,Dufresny (Charles Rivère),comédie,,1,vers,
270,Le Déjeuner interrompu,Montanclos (Marie-Émilie Mayon de),comédie,,2,prose,
271,Le Dénouement imprévu,"Marivaux (Pierre Carlet de Chamblain de), Parfaict",comédie,,1,prose,
272,Le Dépit amoureux,Molière (Jean-Baptiste Poquelin dit) ,comédie,,5,vers,
273,Le Deuil,Hauteroche (Noël Lebreton de),comédie,,1,vers,
274,Le Dissipateur ou l'Honnête friponne,Destouches (Philippe Néricault dit),comédie,,5,vers,
275,Le Distrait,Regnard (Jean-François),comédie,,5,vers,
276,Le Double Veuvage,Dufresny (Charles Rivère),comédie,x,3,prose,
277,Le Droit du seigneur,Voltaire (François-Marie Arouet dit ),comédie,,3,vers,
278,Le Duc de Surrey,Boissy (Louis de),pièce héroïque ,,5,vers,
279,Le Fabricant de Londres,Denouillot de Falbaire (Charles-Georges),drame ,,5,prose,
280,Le Fat,Lattaignant (Gabriel-Charles de),comédie,,5,vers,
281,Le Fat puni,Pont-de-Vesle (Antoine de Fériol de),comédie,,1,prose,
282,Le Faux généreux,Bret (Antoine),comédie,,5,vers,
283,Le Faux insouciant,Maisonneuve (Louis-Jean-Baptiste Simonnet de),comédie,,5,vers,
284,Le Faux noble,Chabanon (Michel Paul Guy de),comédie,,5,vers,
285,Le Faux savant ou l'Amant précepteur ,Vaure (Jacques du) ,comédie,,5,prose,
286,Le Festin de Pierre,Corneille (Thomas),comédie,,5,vers,
287,Le Fils naturel ou les Epreuves de la vertu,Diderot (Denis),drame ,x,5,prose,
288,Le Financier,Saint-Foix (Germain-François Poullain de),comédie,,1,prose,
289,Le Flatteur,Lantier (Étienne François de),comédie,,5,vers libres,
290,Le Florentin,La Fontaine (Jean de),comédie,,1,vers,
291,Le Français à Londres,Boissy (Louis de),comédie,,1,prose,
292,Le Galant coureur ou l'Ouvrage d'un moment,Le Grand (Marc-Antoine),comédie,,1,prose,
293,Le Galant jardinier,Dancourt (Florent Carton dit) ,comédie,,1,prose,x
294,Le Gâteau des rois ou Monsieur Petau,Imbert (Barthélémy),comédie,x,1,vers,
295,Le Glorieux,Destouches (Philippe Néricault dit),comédie,,5,vers,
296,Le Grondeur,Brueys (David-Augustin de); Palaprat (Jean de),comédie,x,3,prose et vers libres,
297,Le héros français: ou l'Héroïsme français ou le Siège de Saint-Jean de Laone,Ussieux (Louis d'),drame héroïque ,,4,prose,
298,Le Jaloux,Bret (Antoine),comédie,,5,vers,
299,Le Jaloux ,Rochon de Chabannes (Marc-Antoine-Jacques),comédie,,5,vers libres,
300,Le Jaloux désabusé,Campistron (Jean-Galbert de) ,comédie,,5,vers,
301,Le Jaloux sans amour,Imbert (Barthélémy),comédie,,5,vers libres,
302,Le Jeune homme,Bastide (Jean-François de),comédie,,5,vers,
303,Le Joueur,Regnard (Jean-François),comédie,,5,vers,
304,Le Journaliste des ombres ou Momus au Champ-Élysées,Aude (Joseph),pièce héroïque nationale ,,1,vers,
305,Le Légataire universel,Regnard (Jean-François),comédie,,5,vers,
306,Le Legs,Marivaux (Pierre Carlet de Chamblain de),comédie,,1,prose,
307,Le Magnifique,La Motte (Antoine Houdar de) ,comédie,,2,prose,
308,Le Maire de village ou la Force de la loi,Laus de Boissy,comédie,,1,prose,
309,Le Malade imaginaire,Molière (Jean-Baptiste Poquelin dit) ,comédie-ballet,,3,vers,
310,Le Malheureux imaginaire,Dorat (Claude-Joseph),comédie,,5,vers,
311,Le Marchand de Smyrne,Chamfort (Sébastien-Roch-Nicolas de),pièce,,1,prose,
312,Le Mari directeur ou le Déménagement des religieuses,Flins des Oliviers,comédie,,1,vers,
313,Le Mari retrouvé,Dancourt (Florent Carton dit) ,comédie,,1,prose,x
314,Le Mari sans femme,Montfleury (Antoine Jacob),comédie,,5,vers,
315,Le Mariage clandestin,Le Monnier (Pierre-René),comédie,,3,vers libres,
316,Le Mariage de Figaro ou la Folle journée,Beaumarchais (Pierre-Augustin Caron de),comédie,,5,prose,
317,Le Mariage fait et rompu,Dufresny (Charles Rivère),comédie,,3,vers,
318,Le Mariage forcé,Molière (Jean-Baptiste Poquelin dit) ,comédie,,1,prose,
319,Le Mariage interrompu ou la Fille supposée,Cailhava (Jean-François Cailhava d'Estendoux dit),comédie,,3,vers,
320,Le Mariage par dépit,Bret (Antoine),comédie,,3,prose,
321,Le Mariage secret,Desfaucherets (Jean-Louis Brousse),comédie,,3,vers,
322,Le Méchant,Gresset (Jean-Baptiste-Louis),comédie,,5,vers,
323,Le Médecin de l'amour,Anseaume (Louis) ; Marcouville (Pierre-Augustin Lefèvre de Marcouville dit),musique,,,opéra comique,
324,Le Médecin malgré lui,Molière (Jean-Baptiste Poquelin dit) ,comédie,,3,prose,
325,Le Médecin par occasion,Boissy (Louis de),comédie,,5,vers,
326,Le Médisant,Destouches (Philippe Néricault dit),comédie,,5,vers,
327,Le Menteur,Corneille (Pierre),comédie,,5,vers,
328,Le Mercure galant ou la Comédie sans titre,Boursault (Edme ) ,comédie,,5,vers,
329,Le Misanthrope,Molière (Jean-Baptiste Poquelin dit) ,comédie,,5,vers,
330,Le Moulin de Javelle,Dancourt (Florent Carton dit) ,comédie,,1,prose,x
331,Le Muet,Brueys (David-Augustin de); Palaprat (Jean de),comédie,,5,prose,
332,Le Muet par amour,Alliot,comédie,,1,vers,
333,Le Naufrage ou la Pompe funèbre de Crispin,La Font (Joseph de),comédie,,1,vers,
334,Le Nouveau monde,Pellegrin (l'abbé Simon-Joseph),comédie,x,3,vers libres,
