  id  | acts | expert_validated |                                                                title                                                                |                                                        author                                                        |                genre
 5342 |    1 | t                | Inquiet (L')                                                                                                                        | Fagan (Barthélemy-Christophe)                                                                                        | comédie
 5318 |    1 | t                | Étourderie (L')                                                                                                                     | Fagan (Barthélemy-Christophe)                                                                                        | comédie
 5396 |    5 | t                | Phèdre et Hippolyte ou Phèdre                                                                                                       | Racine (Jean)                                                                                                        | tragédie
 5401 |    5 | t                | Polyeucte, martyr                                                                                                                   | Corneille (Pierre)                                                                                                   | tragédie
 5412 |    5 | t                | Rodogune ou Rodogune, princesse des Parthes                                                                                         | Corneille (Pierre)                                                                                                   | tragédie
 5394 |    5 | f                | Pénélope                                                                                                                            | Genest (Charles-Claude)                                                                                              | tragédie
 5422 |    1 | t                | Sganarelle ou le Cocu imaginaire                                                                                                    | Molière (Jean-Baptiste Poquelin dit)                                                                                 | comédie
 5421 |    5 | t                | Sertorius                                                                                                                           | Corneille (Pierre)                                                                                                   | tragédie
 5427 |    5 | t                | Tartuffe ou l'Imposteur                                                                                                             | Molière (Jean-Baptiste Poquelin dit)                                                                                 | comédie
 5436 |    5 | t                | Venceslas                                                                                                                           | Rotrou (Jean de)                                                                                                     | tragédie
 5865 |    5 | t                | Sophonisbe                                                                                                                          | Corneille (Pierre)                                                                                                   | tragédie
 5419 |    5 | f                | Scévole                                                                                                                             | Du Ryer (Pierre)                                                                                                     | tragédie
 5403 |    1 | t                | Pygmalion                                                                                                                           | Poinsinet de Sivry (Louis)                                                                                           | comédie
 5857 |    5 | t                | Varron                                                                                                                              | Dupuy                                                                                                                | comédie
 5449 |    5 | t                | Zulime                                                                                                                              | Voltaire (François-Marie Arouet dit)                                                                                 | tragédie
 5446 |    1 | t                | Zénéïde                                                                                                                             | Cahusac (Louis de)                                                                                                   | comédie
 5406 |    1 | t                | Quartier d'hiver (Le)                                                                                                               | Bret (Antoine) ; Godard d'Aucour (Claude) ; Villaret (Claude)                                                        | comédie
 5423 |    3 | t                | Sidney                                                                                                                              | Gresset (Jean-Baptiste-Louis)                                                                                        | comédie
 5437 |    5 | t                | Venise sauvée                                                                                                                       | La Place (Pierre-Antoine de)                                                                                         | tragédie
 5434 |    5 | t                | Vanda, reine de Pologne                                                                                                             | Linant (Nicolas-Michel)                                                                                              | tragédie
 5388 |    5 | t                | Oreste                                                                                                                              | Voltaire (François-Marie Arouet dit)                                                                                 | tragédie
 5435 |    5 | t                | Varon                                                                                                                               | Grave (Jean Hyacinthe, vicomte de)                                                                                   | tragédie
 5442 |    5 | t                | Zarès                                                                                                                               | Palissot de Montenoy (Charles)                                                                                       | tragédie
 5391 |    5 | t                | Paros                                                                                                                               | Mailhol (Gabriel)                                                                                                    | tragédie
 5397 |    5 | t                | Philoctète                                                                                                                          | Châteaubrun (Jean-Baptiste Vivien de)                                                                                | tragédie
