db,expert,id,author,title,genre ,nombre d'actes,Prologue,Prose/vers,"Musique, danse, machines",Date de création,Created,Updated
,1,5240,Legrand (Marc-Antoine) ; Fuzelier (Louis),Amazones modernes (Les),comédie,3,FALSE,prose,TRUE,1727,,
,1,5042,Destouches,Ambitieux et l'indiscrète (L'),tragi-comédie,5,TRUE,vers,FALSE,,,
,1,4852,Voltaire (François-Marie Arouet dit),Amélie ou le Duc de Foix ou Le Duc de Foix,tragédie,5,FALSE,vers,FALSE,17 AOUT 1752,,
,1,4853,Ducis (Jean-François),Amélise,tragédie,5,FALSE,vers,FALSE,9 JANV 1768,,
,1,4854,Saurin (Bernard-Joseph),Aménophis,tragédie,5,FALSE,vers,FALSE,12 NOV 1750,,
,1,4855,Mauger,Amestris,tragédie,5,FALSE,vers,FALSE,3 JUIL 1747,,
,1,5043,Laya (Jean-Louis),Ami des lois (L'),comédie,5,FALSE,vers,FALSE,,,
,1,5241,Pieyre (Alexandre),Amis à l'épreuve (Les),comédie,1,FALSE,vers croisés,FALSE,19 JUILLET 1787,,
,1,5542,Fagan (Barthélemy-Christophe),Amitié rivale (L'),comédie,5,FALSE,vers,FALSE,16 NOV 1735,,
,1,5044,Falconnet (Françoise-Cécile),Amour à Tempé (L'),pastorale,2,FALSE,prose,TRUE,,,
,1,5045,Legrand (Marc-Antoine),Amour diable (L'),comédie,1,FALSE,vers,TRUE,,,
,1,5046,"Bernis (François-Joachim de Pierres, cardinal de)",Amour et les Fées (L'),comédie,1,FALSE,vers libres,TRUE,,,
,1,5047,Dufrénoy (Adélaïde-Gillette Billet),Amour exilé des cieux (L'),pièce allégorique,1,FALSE,vers,TRUE,,,
,1,5048,Rochon de Chabannes (Marc-Antoine-Jacques),Amour français (L'),comédie,1,FALSE,vers,FALSE,,,
,1,5049,Molière (Jean-Baptiste Poquelin dit) ,Amour médecin (L') ou Les Médecins,comédie-ballet,3,TRUE,prose,TRUE,,,
,1,4856,La Chaussée (Pierre-Claude),Amour pour amour,comédie,3,TRUE,vers,TRUE,16 FEV 1742,,
