id,title,author,genre ,Prologue,nombre d'actes,Prose/vers,"Musique, danse, machines",Date de création
5546,Aventurière (L'),Donneau de Vizé (Jean),comédie,,5 actes,vers,,2 JANV 1696
5062,Aveugle clairvoyant (L'),Legrand (Marc-Antoine),comédie,,1,vers,,
5063,Aveugle par crédulité (L'),Fournelle (Jean-Nicolas),comédie,,1,prose,,
5243,Aveux difficiles (Les),Vigée (Louis-Jean-Baptiste-Étienne),comédie ,,1,vers,,24 FEVRIER 1783
5064,Avocat Patelin (L'),Brueys (David-Augustin de),comédie,,3,prose,,
5547,Avocat sans étude (L'),"Rosimond (Claude Rose, sieur de)",comédie,,1 acte,vers,,
4878,Azémire,Chénier (Marie-Joseph de),tragédie ,,5,vers,,6 NOV 1786
5065,Babillard (Le),Boissy (Louis de),comédie,,1,vers,,
5654,Badaud (Le),Anonyme,comédie,,1 acte,prose,,10 MAI 1687
5655,Badinage (Le),Boissy (Louis de),comédie,,1 acte,vers,,23 NOV 1733
5581,Baguette (La),Dancourt (Florent Carton dit),comédie,,1 acte,prose,X,
5656,Bailli marquis (Le),Du Fresny (Charles),comédie,,1 acte,prose,X,
4879,Bajazet,Racine (Jean),tragédie,,5,vers,,
5487,Bajazet premier,Pacarony (chevalier de),tragédie,,5 actes,vers,,
5657,Bal d'Auteuil (Le),Boindin (Nicolas),comédie,X,3 actes,prose,X,
5658,Ballet extravagant (Le),"Palaprat (Jean de, sieur de Bigot)",comédie,,1 acte,prose,X,
5066,Barbier de Séville ou la Précaution inutile (Le),Beaumarchais (Pierre-Augustin Caron de),comédie,,4,prose,,
5244,Barmécides (Les),La Harpe (Jean François de),tragédie,,5,vers,,
4880,Barnevelt,Le Mierre (Antoine-Marin) ,tragédie,,5,vers,,11 JUILLET 1778
5067,Baron d'Albikrac (Le),Corneille (Thomas),comédie,,5,vers,,30 JUIN 1790
5068,Baron de la Crasse (Le),Poisson (Raymond),comédie,,1,vers,X,
5659,Baron des Fondrières (Le),Corneille (Thomas),comédie,,5 actes,vers,,
5488,Basile et Quitterie,Gaultier,tragi-comédie,X,3 actes,vers,X,
5582,Belle-mère (La),Dancourt (Florent Carton dit),comédie,,5 actes,vers,,
4962,Belle-mère ou les Dangers d'un second mariage (La),Vigée (Louis-Jean-Baptiste-Étienne),comédie,,5,vers,,
5489,Bellérophon ,Quinault (Philippe),tragédie,,5 actes,vers,,24 JUIL 1788
4881,Bérénice ,Racine (Jean),tragédie,,5,vers,,
4963,Bergère des Alpes (La),Desfontaines (François-Georges),comédie,,1,vers libre,,
4882,Beverlei,Saurin (Bernard-Joseph),tragédie bourgeoise,,5,vers libres,,15 DEC 1765
4964,Bienfaisance de Voltaire (La),Villemain d'Abancourt (François-Jean),pièces dramatique,,1,vers,,7 MAI 1768
5069,Bienfait anonyme (Le),Pilhes (Joseph),comédie,,3,prose,,30 MAI 1791
5070,Bienfait rendu ou le Négociant (Le),Dampierre de la Salle,comédie ,,5,vers,,
4883,Blanche et Guiscard,Saurin (Bernard-Joseph),tragédie,,5,vers,,
5583,Boîte de Pandore (La),Poisson (Philippe),comédie,,1 acte,prose,,26 SEPT 1763
5071,Bon ami (Le),Legrand (Marc-Antoine),comédie,,1,prose,,
5072,Bon soldat (Le),Montfleury (Antoine Jacob dit),comédie,,1,vers,X,
5660,Bourgeois de Falaise (Le),Regnard (Jean-François),comédie,,1 acte,vers,X,
5073,Bourgeois gentilhomme (Le),Molière (Jean-Baptiste Poquelin dit) ,comédie-ballet,,5,prose,X,
5245,Bourgeoises à la mode (Les),Dancourt (Florent Carton dit) ,comédie,,5,prose,,
5756,Bourgeoises de qualité (Les),"Hauteroche (Noël Lebreton, sieur de)",comédie,,5 actes,vers,,15 NOVEMBRE 1692
5661,Bourget (Le) ,Anonyme,comédie,,1 acte,prose,X,
5074,Bourru bienfaisant (Le),Goldoni (Carlo),comédie,,3,prose,,
5757,Bouts-rimés (Les),"Saint-Glas (Pierre de, abbé de Saint-Ussans)",comédie,,1 acte,prose,,
5490,Bradamante,Corneille (Thomas),tragédie,,5 actes,vers,,
5246,Brames (Les),La Harpe (Jean François de),tragédie,,5,vers,,
4884,Briséis ou la colère d'Achille,Poinsinet de Sivry (Louis),tragédie,,5,vers,,15 DECEMBRE 1783
4885,Britannicus,Racine (Jean),tragédie,,5,vers,,25 JUIN 1759
5662,Brutal de sang froid / sens froid  (Le),Anonyme,comédie,,1 acte,prose,,
4886,Brutus,Voltaire (François-Marie Arouet dit),tragédie,,5,vers,,
5491,Brutus,Bernard (Catherine),tragédie,,5 actes,vers,,11 DEC 1730
5663,Cadet de Gascogne (Le),Anonyme,comédie,,5 actes,,,
5664,Cadet de Gascogne (Le),Anonyme,comédie,,1 acte,,,
5665,Café (Le),Rousseau (Jean-Baptiste),comédie,,1 acte,prose,,
5075,Café ou l'Écossaise (Le) ou L'Écossaire ou le Café,Voltaire (François-Marie Arouet dit),comédie,,5,prose,,
4887,Caïus Marcius Coriolan ou le Danger d'offenser un grand homme,Gudin de La Brenellerie (Paul-Philippe),tragédie,,4,vers,,
4889,Caliste,Colardeau (Charles-Pierre),tragédie ,,5,vers,,14 AOUT 1776
1146,Caliste ou la Belle pénitente,"Mauprie (Olivier Hubert Angélique Gourjaut de Mauprie, marquis de)",tragédie,,5,vers,,12 NOV 1760
5492,Callisthène,Piron (Alexis),tragédie,,5 actes,vers,,27 AVR 1750
5493,"Camma, reine de Galatie",Corneille (Thomas),tragédie,,5 actes,vers,,
5666,Camp de Porché-Fontaine (Le),Grandval (Nicolas Racot de),comédie,,1 acte,prose,X,
5667,Campagnard (Le),Gillet de La Tessonerie,comédie,,5 actes,vers,,
5642,Caprice et la Ressource (Le),Le Mascrier (Jean-Baptiste),prologue,,1 acte,vers,,
5076,Caprice ou l'Épreuve dangereuse (Le),Renout (Jean-Julien-Constantin),comédie,,3,prose,,
5668,Capricieux ou les Apparences trompeuses (Le),Rousseau (Jean-Baptiste),comédie,,5 actes,vers,,
5758,Captifs (Les),Roy (Pierre-Charles) ; La Font (Joseph de),comédie,X,3 actes,vers,X,
5759,Caractères de Thalie (Les),Fagan (Barthélemy-Christophe),comédie,X,3 actes,prose / vers,X,
5669,Carnaval de Venise (Le),Dancourt (Florent Carton dit),comédie héroïque,,5 actes,,,
