Id,Author,Title,Genre,Created At,Updated At,Acts,Prose Vers,Prologue,Musique Danse Machine
5804,Dancourt (Florent Carton dit),Merlin la Chacone,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,,0,false,false
5803,Dancourt (Florent Carton dit),Merlin déserteur,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5802,La Grange-Chancel (Joseph de),Méléagre,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5801,Deschamps (François-Michel-Chrétien),Médus,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5800,La Chaussée (Pierre Claude Nivelle de),Maximien,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5799,Boursault (Edme),"Marie Stuart, reine d'Écosse ",tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5798,Tronchin (Jacques),"Marie Stuart, reine d'Écosse",tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5797,Nadal (abbé Augustin),Mariamne,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5796,Châteaubrun (Jean-Baptiste Vivien de),Mahomet second,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5795,Dancourt (Florent Carton dit),Madame Artus,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5794,Caux de Montlebert (Gilles de) ; Caux de Montlebert le fils,Lysimachus,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5793,Fagan (Christophe Barthélémy Fagan de Lugny dit),Lucas et Perrette ou Le Rival utile,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5792,Desmarets de Saint-Sorlin (Jean),Les Visionnaires,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5791,Prechac (Jean),Les Usuriers,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,,vers,false,false
5790,Danchet (Antoine),Les Tyndarides,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5789,Aigueberre (Jean Dumas d'),Les Trois spectacles,ambigu-comique,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,prose / vers,true,false
5788,Anonyme,Les Sœurs rivales,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,vers,false,false
5787,Marivaux (Pierre Carlet de Chamblain de),Les Serments indiscrets,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,prose,false,false
5786,Anonyme,Les Rivaux d'eux-mêmes,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,vers,false,false
5785,Allainval (Léonor-Jean-Christine Soulas abbé d') ; Laffichard (Thomas l'Affichard dit),Les Réjouissances publiques ou le Gratis,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5784,Poisson (Raymond),Les Pipeurs ou les Femmes coquettes,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5783,Destouches (Philippe Néricault dit),Les Philosophes amoureux,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5782,Anonyme,Les Petits-Maîtres  d'été,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5781,Anonyme,Les Nouvellistes,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5780,Boursault (Edme),Les Nicandres ou les Menteurs qui ne mentent point,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,vers,false,false
5779,Boursault (Edme),Les Mots à la mode,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,vers,false,false
5778,Saint-Yon,Les Mœurs du temps,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,prose,false,false
5777,La Bruère (Charles-Antoine le Clerc de),Les Mécontents,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,vers,true,false
5776,Champmeslé (Charles Chevillet dit),Les Joueurs,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5775,Danchet (Antoine),Les Héraclides,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5774,Brie (Mr de),Les Héraclides,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5773,Champmeslé (Charles Chevillet dit),Les Grisettes ou Crispin chevalier,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,vers,false,false
5772,Champmeslé (Charles Chevillet dit),Les Fragments de Molière,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,2,prose,false,false
5771,Poisson (Raymond),Les Fous divertissants,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,vers,false,false
5770,Baron (Michel Boyron dit),Les Fontanges maltraitées ou les Vapeurs,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
5769,Dancourt (Florent Carton dit),Les Fêtes du cours,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,true,false
5768,Molière (Jean-Baptiste Poquelin dit),Les Fâcheux,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,vers,false,true
5767,Merville (Michel Guyot de),Les Époux réunis ou la Veuve fille et femme,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5766,Baron (Michel Boyron dit),Les Enlèvements,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
