id,author,title,genre,acts,prologue,prose_vers,musique_danse_machine,date_de_creation
5043,Laya (Jean-Louis),Ami des lois (L'),comédie,5,FALSE,vers,FALSE,
5241,Pieyre (Alexandre),Amis à l'épreuve (Les),comédie,1,FALSE,vers croisés,FALSE,19 JUILLET 1787
5542,Fagan (Barthélemy-Christophe),Amitié rivale (L'),comédie,5,FALSE,vers,FALSE,11/16/1735
5044,Falconnet (Françoise-Cécile),Amour à Tempé (L'),pastorale,2,FALSE,prose,TRUE,
5045,Legrand (Marc-Antoine),Amour diable (L'),comédie,1,FALSE,vers,TRUE,
5046,"Bernis (François-Joachim de Pierres, cardinal de)",Amour et les Fées (L'),comédie,1,FALSE,vers libres,TRUE,
5047,Dufrénoy (Adélaïde-Gillette Billet),Amour exilé des cieux (L'),pièce allégorique,1,FALSE,vers,TRUE,
5048,Rochon de Chabannes (Marc-Antoine-Jacques),Amour français (L'),comédie,1,FALSE,vers,FALSE,
5049,Molière (Jean-Baptiste Poquelin dit),Amour médecin (L') ou Les Médecins,comédie-ballet,3,TRUE,prose,TRUE,
4856,La Chaussée (Pierre-Claude),Amour pour amour,comédie,3,TRUE,vers,TRUE,16 FEV 1742
5468,Poisson (Philippe),Amour secret (L'),comédie,1,FALSE,vers,FALSE,10/5/1740
5050,Destouches,Amour usé (L'),comédie,5,FALSE,prose,FALSE,
5543,La Font (Joseph de),Amour vengé (L'),comédie,1,FALSE,vers,FALSE,10/14/1712
5516,Gilbert (Gabriel),Amours de Diane et d'Endymion (Les) ou Endymion,tragédie,5,TRUE,vers,TRUE,22 JUIL 1681
5754,Donneau de Vizé (Jean),Amours de Vénus et d'Adonis (Les),tragédie,5,TRUE,vers,TRUE,
4857,Molière (Jean-Baptiste Poquelin dit),Amphitryon,comédie,3,TRUE,vers libres,TRUE,
5755,Fuzelier (Louis),Amusements de l'automne ou les Temples d'Éphèse et de Gnide (Les),comédie,4,TRUE,prose,TRUE,10/17/1725
5051,Baron,Andrienne (L'),comédie,5,FALSE,vers,FALSE,
4858,Racine (Jean),Andromaque,tragédie,5,FALSE,vers,FALSE,
5469,Corneille (Pierre),Andromède,tragédie,5,TRUE,vers,TRUE,
4859,Campistron (Jean Galbert de),Andronic,tragédie,5,FALSE,vers,FALSE,8 FEV 1685
5470,Dancourt (Florent Carton dit),Angélique et Médor,comédie,1,FALSE,prose,TRUE,1 AOUT 1685
5052,Favart (Charles-Simon),Anglais à Bordeaux (L'),comédie,1,FALSE,vers libres,FALSE,
5053,Saurin (Bernard-Joseph),Anglomanie ou l'Orpheline léguée (L') ou L'Anglomane ou l'Orpheline léguée,comédie,1,FALSE,vers libres,FALSE,
4860,Marivaux (Pierre de),Annibal,tragédie,5,FALSE,vers,FALSE,12/16/1720
5471,Riupeirous (Théodore),Annibal,tragédie,5,FALSE,vers,FALSE,11/5/1688
5472,"Boyer (Claude, abbé) pseud : Pader d'Assézan",Antigone,tragédie,5,FALSE,vers,FALSE,14 MARS 1686
4861,Doigny du Ponceau,Antigone ou la Piété fraternelle,tragédie,5,FALSE,vers,FALSE,31 JUIL 1787
5473,Deschamps (François-Michel-Chrétien),Antiochus et Cléopâtre,tragédie,5,FALSE,vers,FALSE,10/29/1717
5474,"Nadal (Augustin, abbé)",Antiochus ou Les Macchabées,tragédie,5,FALSE,vers,FALSE,12/16/1722
