title,author,genre,prologue,acts,prose_vers,musique_danse_machine
La Toison d'or,Corneille (Pierre),tragédie,1,5,vers,1
La tragédie en prose ou la Tragédie extravagante,Auvigny (Jean du Castre d'),comédie,0,1,prose,0
La Trahison punie,Dancourt (Florent Carton dit),comédie,0,5,vers,0
La Vengeance de l'amour,Jolly (François-Antoine),comédie,0,5,vers,0
La Veuve,"Champmeslé (Charles Chevillet dit)",comédie,0,1,prose,0
La vraie Didon ou Didon la chaste,Boisrobert (François Le Metel sieur de),tragédie,0,5,vers,0
"Laodamie, reine d'Epire",Bernard (Catherine),tragédie,0,5,vers,0
Le Badaud,Anonyme,comédie,0,1,prose,0
Le Badinage ou le Dernier jour de l'absence,Boissy (Louis de),comédie,0,1,vers,0
Le Bailli marquis,Anonyme,comédie,0,1,prose,0
Le Bal d'Auteuil,Boindin (Nicolas),comédie,1,3,prose,0
Le Ballet extravagant,Palaprat (Jean),comédie,0,1,prose,0
Le Baron des Fondrières,Corneille (Thomas),comédie,0,5,vers,0
Le Bourgeois de Falaise ou le Bal,Regnard (Jean-François),comédie,0,1,vers,0
Le Bourget,Anonyme,comédie,0,1,prose,0
Le Brutal de sens froid,Dancourt (Florent Carton dit),comédie,0,1,prose,0
Le Cadet de Gascogne,Anonyme,comédie,0,5,0,0
Le Cadet de Gascogne,Anonyme,comédie,0,1,0,0
Le Café,Rousseau (Jean-Baptiste),comédie,0,1,prose,0
Le Camp de Porché-Fontaine,Grandval le père (Nicolas Racot de Granval dit),comédie,0,1,prose,0
Le Campagnard,La Tessonerie (Gillet de),comédie,0,5,vers,0
Le Capricieux ou les Apparences trompeuses,Rousseau (Jean-Baptiste),comédie,0,5,vers,0
Le Carnaval de Venise,Dancourt (Florent Carton dit),"comédie héroique",0,5,0,0
Le Chevalier à la mode,Dancourt (Florent Carton dit),comédie,0,5,prose,0
Le Chevalier Bayard,Autreau (Jacques),comédie héroïque,0,5,vers,0
Le Chevalier joueur,Dufresny (Charles Rivière),comédie,0,5,prose,0
Le cocher supposé,Hauteroche (Noël Lebreton de),comédie,0,1,prose,0
Le Comédien poète,Montfleury (Antoine Jacob),comédie,0,5,vers,1
Le Débauché,Baron (Michel Boyron dit),comédie,0,5,vers,0
Le Dédit,Anonyme,comédie,0,5,vers,0
Le Désespoir extravagant,Subligny (Adrien-Thomas Perdou de),comédie,0,,0,0
Le Diable boiteux,Dancourt (Florent Carton dit),comédie,1,1,prose,0
Le Divorce,Champmeslé (Charles Chevillet dit),comédie,0,5,vers,0
Le Divorce de l'amour et de la raison ou le Vieux monde,Pellegrin (Simon-Joseph),comédie,1,3,vers,0
Le Divorce ou les Époux mécontents,Avisse (Étienne-François),comédie,1,3,vers,0
Le docteur extravagant,Le Clerc (Michel),comédie,0,5,vers,0
Le Faucon,"Barbier (Marie Anne, Mlle)",comédie,0,1,vers,0
Le Faux Gascon,Raisin (Jean-Baptiste),comédie,0,1,prose,0
Le Faux honnête homme,Dufresny (Charles Rivière),comédie,0,3,prose,0
Le Faux instinct,Dufresny (Charles Rivière),comédie,0,3,prose,0
Le Faux sincère,Dufresny (Charles Rivière),comédie,0,5,vers,0
Le Feint polonais ou la Veuve impertinente,Hauteroche (Noël Lebreton de),comédie,0,3,prose,0
Le Flatteur,Rousseau (Jean-Baptiste),comédie,0,5,prose,0
Le Fou de qualité ou le Fou raisonnable,Poisson (Raymond),comédie,0,1,vers,0
Le Gênois,Anonyme,comédie,0,1,0,0
Le Gentilhomme meunier,Anonyme,comédie,0,1,0,0
Le Geôlier de soi-même ou Jodelet prince,Corneille (Thomas),comédie,0,5,vers,0
Le Gros lot de Marseille,Anonyme,comédie,0,1,prose,0
Le Jaloux,Baron (Michel Boyron dit),comédie,0,5,vers,0
Le Jaloux honteux de l'être,Dufresny (Charles Rivière),comédie,0,5,prose,0
Le Jaloux invlisible ou le Bonnet enchanté,"Brécourt (Guillaume Marcoureau, sieur de) ",comédie,0,3,vers,0
Le Jaloux masqué,Anonyme,comédie,0,3,0,0
Le jeune homme,Anonyme,comédie,0,1,prose,0
Le Laquais fille,Anonyme,0,,0,,1
Le Maréchal médecin ou les Houssards,Anonyme,comédie,0,1,prose,0
Le Mari curieux,Allainval (Léonor-Jean-Christine Soulas abbé d'),comédie,0,1,prose,0
Le Mari égaré,Audierne (Jacques),comédie,1,1,prose,0
Le mariage de Bacchus et d'Ariane,De Visé (Jean Donneau),"comédie héroique",0,3,vers,0
Le Mariage de rien,Montfleury (Antoine Jacob),comédie,0,1,vers,0
Le Mariage fait par lettre de change,Poisson (Philippe),comédie,0,1,prose,0
Le Marié sans le savoir,Fagan (Christophe Barthélémy Fagan de Lugny dit),comédie,0,1,prose,0
Le Marquis de l'industrie,Anonyme,comédie,0,5,vers,0
Le Médecin de l'esprit,Merville (Michel Guyot de),comédie,0,1,prose,0
Le Médecin de village,Anonyme,comédie,0,1,prose,0
Le médecin volant,Boursault (Edme),"comédie burlesque",0,1,vers,0
Le Négligent,Dufresny (Charles Rivière),comédie,1,3,prose,0
Le Niais de Sologne,Raisin (Jean-Baptiste),comédie,0,1,prose,0
Le notaire obligeant ou les Fonds perdus,Dancourt (Florent Carton dit),comédie,0,3,prose,0
Le Parasite,Hermite (Tristan l'),comédie,0,5,vers,0
Le Paresseux,De Launay,comédie,1,3,vers,0
Le Parisien,Champmeslé (Charles Chevillet dit),comédie,0,5,vers,0
Le Pastor fido,Pellegrin (Simon-Joseph),pastorale héroïque,1,3,vers,0
Le Père intéressé ou les Vrais amis,Pellegrin (Simon-Joseph),comédie,0,5,vers,0
Le Père supposé,Anonyme,comédie,0,1,0,0
Le Petit homme de la foire,Raisin (Jean-Baptiste),comédie,0,1,prose,0
Le Petit maître de campagne ou le Vicomte de Génicourt,Anonyme,comédie,0,1,prose,0
Le Petit-maître corrigé,Marivaux (Pierre Carlet de Chamblain de),comédie,0,3,prose,0
Le Point d'honneur,Lesage (Alain-René),comédie,0,5,prose,0
Le Pouvoir de la sympathie,Boissy (Louis de),comédie,0,3,vers,0
Le Prince de Noisy,Aigueberre (Jean Dumas d'),comédie héroïque,1,3,prose,0
Le Prix de l'arquebuse,Dancourt (Florent Carton dit),comédie,0,1,prose,0
Le Procès des sens,Fuzelier (Louis),comédie,0,1,vers,0
Le Rajeunissement inutile,La Grange (Nicolas de),comédie,0,3,vers,0
Le Rendez-vous,La Fontaine (Jean de),comédie,0,1,vers,0
Le rendez-vous des Tuileries ou le Coquet trompé,Baron (Michel Boyron dit),comédie,1,3,prose,0
Le Retour de l'Ombre de Molière,Voisenon (Claude-Henri de Fusée de),comédie,0,1,vers,0
Le Réveil d'Épiménide,Poisson (Philippe),comédie,1,3,vers,0
Le Rival de son maître,Anonyme,comédie,0,5,vers,0
Le Rival secrétaire,Desforges,comédie,1,1,vers,0
Le Second chapitre du Diable boiteux,Dancourt (Florent Carton dit),comédie,1,2,prose,0
Le Secret révélé,Brueys (David-Augustin de) ; Palaprat (Jean),comédie,0,1,prose,0
Le Semblable à soi-même,Montfleury (Antoine Jacob),comédie,0,1,vers,1
Le Sot toujours sot ou le Marquis paysan,Brueys (David-Augustin de),comédie,0,1,prose,0
Le Souper mal apprêté,Hauteroche (Noël Lebreton de),0,,0,,0
Le Talisman,La Motte (Antoine Houdar de),comédie,0,1,prose,0
Le Temps présent,Le Grand (Marc-Antoine),comédie,0,1,prose,0
Le Triomphe de l'hiver,Anonyme,comédie,0,1,prose,0
Le Veau perdu,"Champmeslé (Charles Chevillet dit) ; La Fontaine (Jean)",comédie,0,1,prose,0
Le Vert galant,Dancourt (Florent Carton dit),comédie,0,1,prose,0
"Le Vieillard couru ou les Différents caractère des femmes",De Visé (Jean Donneau),comédie,0,5,prose,0
Le Voleur ou Titapapouf,Legrand (Charlotte),comédie,0,1,prose,0
Les Acteurs déplacés ou l'Amant comédien,Laffichard (Thomas l'Affichard dit) ; Panard (Charles-François),comédie,1,1,prose,0
Les Adelphes ou L'École des pères,Baron (Michel Boyron dit),comédie,0,5,vers,0
Les Agioteurs,Dancourt (Florent Carton dit),comédie,0,3,prose,0
Les Amants déguisés,Aunillon (abbé Pierre-Charles-Fabiot),comédie,0,3,prose,0
Les Amants magnifiques,Molière (Jean-Baptiste Poquelin dit),comédie,0,5,prose,0
Les Amants ridicules,Le Grand (Marc-Antoine),comédie,0,1,vers,0
Les Amours de Vénus et d'Adonis,De Visé (Jean Donneau),tragédie,1,5,vers,0
Les Amusements de l'automne ou les Temples d'Éphèse et de Gnide,Fuzelier (Louis),ambigu-comique,1,3,prose,0
Les Bourgeoises de qualité,Hauteroche (Noël Lebreton de),comédie,0,5,vers,0
Les Bouts-rimés,"Saint-Glas (Pierre, abbé de)",comédie,0,1,prose,0
Les Captifs,Roy (Pierre-Charles) ; La Font (Joseph de),comédie,1,3,vers,0
Les Caractères de Thalie,Fagan (Christophe Barthélémy Fagan de Lugny dit),ambigu-comique,1,3,prose / vers,0
Les Carosses d'Orléans,La Chapelle (Jean de),comédie,0,,vers,0
Les Charmes de Félicie,Montauban (Jacques Pousset sieur de),pastorale,0,5,vers,1
Les Courses de Tempé,Piron (Alexis),pastorale,0,1,vers,0
Les Dames vengées ou la Dupe de soi-même,Corneille (Thomas) ; De Visé (Jean Donneau),comédie,0,5,prose,0
Les Eaux de Bourbon,Dancourt (Florent Carton dit),comédie,0,1,prose,0
Les Empiriques,Brueys (David-Augustin de),comédie,0,3,prose,0
Les Enlèvements,Baron (Michel Boyron dit),comédie,0,1,prose,0
Les Époux réunis ou la Veuve fille et femme,Merville (Michel Guyot de),comédie,0,5,vers,0
Les Fâcheux,Molière (Jean-Baptiste Poquelin dit),comédie,0,3,vers,1
Les Fêtes du cours,Dancourt (Florent Carton dit),comédie,1,1,prose,0
Les Fontanges maltraitées ou les Vapeurs,Baron (Michel Boyron dit),comédie,0,1,prose,0
Les Fous divertissants,Poisson (Raymond),comédie,0,3,vers,0
Les Fragments de Molière,Champmeslé (Charles Chevillet dit),comédie,0,2,prose,0
Les Grisettes ou Crispin chevalier,Champmeslé (Charles Chevillet dit),comédie,0,1,vers,0
Les Héraclides,Brie (Mr de),tragédie,0,5,vers,0
Les Héraclides,Danchet (Antoine),tragédie,0,5,vers,0
Les Joueurs,Champmeslé (Charles Chevillet dit),comédie,0,5,vers,0
Les Mécontents,La Bruère (Charles-Antoine le Clerc de),comédie,1,3,vers,0
Les Mœurs du temps,Saint-Yon,comédie,0,5,prose,0
Les Mots à la mode,Boursault (Edme),comédie,0,1,vers,0
Les Nicandres ou les Menteurs qui ne mentent point,Boursault (Edme),comédie,0,3,vers,0
Les Nouvellistes,Anonyme,comédie,0,1,prose,0
Les Petits-Maîtres  d'été,Anonyme,comédie,0,1,prose,0
