ext_id|etype|birth_death_years|mainrole|mainform|firstname|firstname1|formcompl|lastname|firstname2|computedform|url
8058|Personne|1746-1780|Comédien|DURANCY|Magdeleine-Céleste|Magdeleine-Céleste|Fieuzal de Frossac, dite Mlle|DURANCY|Magdeleine-Céleste|magdeleine-céleste durancy|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008058&ref=BIB00036570&p=1
8059|Personne|1742-1789|Comédien|DUGAZON|Marie-Marguerite-Anne-Sophie|Marie-Marguerite-Anne-Sophie|Gourgaud, dite Mlle|DUGAZON|Marie-Marguerite-Anne-Sophie|marie-marguerite-anne-sophie dugazon|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008059&ref=BIB00036570&p=1
8060|Personne|1743-1804|Comédien|VESTRIS|Françoise-Marie-Rosette|Françoise-Marie-Rosette|Gourgaud, dite Mme|VESTRIS|Françoise-Marie-Rosette|françoise-marie-rosette vestris|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008060&ref=BIB00036570&p=1
8061|Personne|1747-1820|Comédien|LACHASSAIGNE|Marie-Anne-Hélène|Marie-Anne-Hélène|Broquain de|LACHASSAIGNE||marie-anne-hélène lachassaigne|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008061&ref=BIB00036570&p=1
8064|Personne|1745-1812|Comédien|MONVEL|Jacques-Marie|Jacques-Marie|Boutet, dit de|MONVEL|Jacques-Marie|jacques-marie monvel|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008064&ref=BIB00036570&p=1
8065|Personne|1746-1809|Comédien|DUGAZON|Jean-Baptiste Henri|Jean-Baptiste Henri|Gourgaud|DUGAZON||jean-baptiste henri dugazon|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008065&ref=BIB00036570&p=1
8066|Personne|1756-1815|Comédien|RAUCOURT|Françoise-Marie-Antoinette-Josèphe|Françoise-Marie-Antoinette-Josèphe|Saucerotte, dite Mlle|RAUCOURT|Françoise-Marie-Antoinette-Josèphe|françoise-marie-antoinette-josèphe raucourt|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008066&ref=BIB00036570&p=1
8067|Personne|1737-1793|Comédien|DES ESSARTS|Denis|Denis|Deschanet, dit|DES ESSARTS|Denis|denis des essarts|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008067&ref=BIB00036570&p=1
8068|Personne|1747-1827|Comédien|LARIVE|Jean|Jean|Mauduit, dit de|LARIVE|Jean de|jean larive|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008068&ref=BIB00036570&p=1
8069|Personne|1742-1817|Comédien|SUIN|Marie-Denise|Marie-Denise|Vriot, dite Mme|SUIN|Marie-Denise|marie-denise suin|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008069&ref=BIB00036570&p=1
